name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Midnight Hour - Radio Edit,Midnight Hour,jeonghyeon,5vERfozSUurYW8B61KMNyW,2022-05-13,44,170476,0.678,0.0879,0.942,2.68e-06,0.295,0.585,-4.516,0.1,125.944,4,4,happy
Now or Never,Now or Never,Mark Mendy,5bRGtuu90GEH5Abl3pHX32,2022-06-09,59,179520,0.777,0.104,0.807,0.0,0.126,0.874,-4.967,0.0707,125.002,4,4,happy
Ready For Your Love,Ready For Your Love,CARSTN,1bTklSZ4YHKCEnGKLVBquU,2022-04-01,55,160796,0.611,0.0761,0.922,0.0274,0.235,0.785,-3.069,0.0381,123.999,7,4,happy
Undercover Martyn,Tourist History,Two Door Cinema Club,0Hrd6CSafHHqKptyFppmqH,2010-02-17,67,167773,0.442,0.00025,0.872,1.74e-05,0.0602,0.568,-5.072,0.123,159.867,2,4,happy
Greek Tragedy - Oliver Nelson TikTok Remix,Greek Tragedy (Oliver Nelson TikTok Remix),The Wombats,64rqvMhAPLLEag310IG3z9,2021-01-15,71,306428,0.736,0.222,0.764,0.00154,0.192,0.404,-6.736,0.0482,112.033,8,4,happy
Lovefool,First Band On The Moon (Remastered),The Cardigans,7aQjPecQdIuNd1sz3KCDhD,1996-01-01,74,193953,0.704,0.0344,0.636,0.0,0.35,0.89,-6.029,0.0252,111.845,9,4,happy
Borderline,The Slow Rush,Tame Impala,5hM5arv9KDbCHS0k9uqwjr,2020-02-14,79,237800,0.621,0.0406,0.873,9.1e-06,0.0824,0.873,-3.067,0.0369,97.96,5,4,happy
Drew Barrymore,Ctrl,SZA,06u5LrUpbosQlQ1QJFhPpG,2017-06-09,72,231400,0.577,0.491,0.523,0.0,0.147,0.29,-5.538,0.0429,134.93,0,4,happy
What You Know,Tourist History,Two Door Cinema Club,3UjtIALeg72qmJiKPWBvM3,2010-02-17,72,191706,0.561,0.000715,0.741,1.4e-05,0.0822,0.776,-4.239,0.0419,139.001,6,4,happy
Play Date,Cry Baby (Deluxe Edition),Melanie Martinez,4DpNNXFMMxQEKl7r0ykkWA,2015-08-14,80,179867,0.68,0.612,0.729,0.0,0.224,0.446,-5.077,0.0475,123.97,5,4,happy
Pumped Up Kicks,Torches,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,2011-05-23,84,239600,0.733,0.145,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975,5,4,happy
Hard Times,After Laughter,Paramore,0w5Bdu51Ka25Pf3hojsKHh,2017-05-12,74,182693,0.695,0.00647,0.818,4.87e-06,0.0219,0.916,-5.379,0.0334,119.965,5,4,happy
A-Punk,Vampire Weekend,Vampire Weekend,5dKBaysNJtfpyNTRa5lqDb,2008-01-27,2,137760,0.551,0.0102,0.821,0.0438,0.153,0.842,-4.489,0.0539,174.923,2,4,happy
My Type,My Type,Saint Motel,2DFi8rwHcVkTTgu7PULhtI,2014-06-17,66,206393,0.596,0.0641,0.897,5.24e-05,0.0628,0.578,-2.94,0.0462,118.0,10,4,happy
Naive,Inside In / Inside Out,The Kooks,7BHPGtpuuWWsvE7cCaMuEU,2006-01-01,74,203506,0.391,0.0759,0.808,0.0,0.149,0.737,-6.209,0.0892,100.304,8,4,happy
Talk Too Much,How Will You Know If You Never Try,COIN,4djIFfof5TpbSGRZUpsTXq,2017-04-21,73,187133,0.598,0.00947,0.888,0.0,0.347,0.482,-5.119,0.0807,103.966,4,4,happy
Painkiller,Painkiller,Ruel,1abFkY2jm6KDFMZ7RD9YJh,2019-04-30,60,213597,0.675,0.105,0.414,0.0,0.192,0.439,-6.508,0.0569,128.927,5,4,happy
Move Your Feet,D-D-Don't Don't Stop the Beat,Junior Senior,4DX82Vc8qAH4jJPvKxvwg6,2002-04-03,69,181826,0.747,0.046,0.904,0.106,0.203,0.846,-2.623,0.0803,118.877,9,4,happy
Primadonna,Electra Heart (Deluxe),MARINA,4sOX1nhpKwFWPvoMMExi3q,2012-04-30,77,221075,0.66,0.0884,0.689,0.0,0.0922,0.427,-2.671,0.0337,127.98,4,4,happy
Stockholm Syndrome,FOUR (Deluxe),One Direction,6AzCBeiDuUXGXjznBufswB,2014-11-17,68,214720,0.678,0.0734,0.933,0.0,0.0863,0.336,-4.959,0.14,120.572,2,4,happy
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,2018-10-16,79,177666,0.815,0.223,0.518,0.0,0.104,0.877,-6.594,0.0897,151.891,7,4,happy
Marlboro Nights,Marlboro Nights,Lonely God,3jj0kpwNbVZfsg6wWbMmyg,2018-06-28,0,68522,0.466,0.00237,0.823,0.000321,0.332,0.782,-6.635,0.311,175.797,2,4,happy
New Flesh,Wild Heart,Current Joys,6TEiFwaiHERpdfG6WnGed1,2013-01-02,7,167986,0.62,0.887,0.594,0.5,0.0917,0.698,-16.066,0.0383,165.861,9,4,happy
Feels Like We Only Go Backwards,Lonerism,Tame Impala,0LtOwyZoSNZKJWHqjzADpW,2012-01-01,76,192960,0.303,0.0277,0.9,0.635,0.11,0.491,-2.352,0.0574,149.508,2,4,happy
