name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,2003-09-15,76,213800,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,4,happy
That's the Way (I Like It),The Best of KC & the Sunshine Band,KC & The Sunshine Band,2lYe3AhO4dJhBMsvk9uBkw,1990-09-10,44,306146,0.661,0.125,0.928,0.00277,0.345,0.851,-6.898,0.0441,108.587,5,4,happy
My Sharona,Playlist: 70s Pop,Various Artists,1FTnBp64Iy26qERGibjknm,2008-04-28,0,240000,0.623,0.0337,0.823,0.0152,0.573,0.867,-5.492,0.0402,147.571,0,4,happy
The Breaks,Cool - Funk,Various Artists,4Tr756ILIER3QrujKqVKcc,2009-01-01,35,244213,0.909,0.0523,0.72,2.2e-05,0.299,0.894,-7.399,0.126,113.038,11,4,happy
Steal My Sunshine,Pure... 90s Dance Party,Various Artists,0VL2n3x8XiL3g8saWof2zf,2010-12-10,25,237960,0.596,0.451,0.956,0.0,0.182,0.576,-8.225,0.252,96.134,4,4,happy
Me Gustas TÚ,Proxima Estacion: Esperanza,Manu Chao,4tFp1lNlkHiJjtUuL6h3K9,2001,0,239986,0.658,0.626,0.741,0.361,0.216,0.909,-6.81,0.0816,175.978,11,4,happy
Wanna Be Startin' Somethin',Off The Wall / Thriller,Michael Jackson,4VMfFPLP2bGASfEomA9NNm,1982-11-30,0,361466,0.846,0.0348,0.922,0.275,0.0837,0.845,-5.566,0.0461,122.37,6,4,happy
Here It Goes Again,Oh No,OK Go,1pHP4JeQV9wDx87D6qH9hD,2005-01-01,68,179813,0.537,0.000342,0.882,9.06e-05,0.12,0.81,-2.306,0.0403,145.729,0,4,happy
You Can Call Me Al,Graceland (2011 Remaster),Paul Simon,4G0piDzNWqkXfnZyYGAyQT,1986-08-12,0,280000,0.776,0.196,0.778,0.00682,0.0853,0.842,-8.11,0.0521,128.459,5,4,happy
Jump (For My Love) - Single Remix,The Best Of The 80's,Various Artists,59K6GctkD8lWljFYa8eE6D,2007-12-10,43,254400,0.853,0.153,0.925,2.32e-05,0.361,0.831,-3.461,0.0989,134.524,10,4,happy
Rocks,Dirty Hits - Limited Edition,Primal Scream,3D0HzwuKEYmVePVqU4fcPX,2003,0,215066,0.635,8.74e-05,0.781,0.00153,0.0412,0.926,-6.045,0.0341,127.706,7,4,happy
Place Your Hands,Together - The Best Of,Reef,0Wc51CYWA7ebq2WU8KMPmu,2002,0,217413,0.506,0.0262,0.983,1.74e-06,0.227,0.551,-3.249,0.0944,109.224,2,4,happy
Cuddly Toy,Roachford,Roachford,7D88UPDgOxn32w8gqBcCWv,1988-06-28,0,228466,0.663,0.0971,0.798,0.0,0.277,0.733,-10.879,0.0451,125.598,10,4,happy
Let Me Entertain You,Life Thru A Lens,Robbie Williams,0SLtqCrXBRrnkxSOMA3X4W,1997-01-01,67,262000,0.478,0.000169,0.965,0.00251,0.0854,0.347,-5.022,0.0642,125.152,10,4,happy
Wooly Bully,Total 60s,Various Artists,0CEH08JwkTvvxRCa4kFiHN,2010-01-01,0,140053,0.428,0.531,0.802,4.05e-05,0.272,0.384,-5.732,0.0835,138.858,0,4,happy
Dance to the Music,Dance To The Music,Sly & The Family Stone,1MQWtVcs0PKsY4PA6ZvLiy,1968-04-27,61,179426,0.703,0.0168,0.529,0.00057,0.911,0.772,-11.112,0.1,128.059,7,4,happy
Beautiful,The Best Of Snoop Dogg,Snoop Dogg,4675yUu8AUbE72T94BkLCD,2005-01-01,68,299146,0.893,0.299,0.74,0.0,0.0881,0.963,-4.936,0.132,101.025,11,4,happy
Shout To The Top - Full Version,The Sound Of The Style Council,The Style Council,7Dk4MB4fPQKHFT2SJcRLrD,2003-01-01,0,257426,0.705,0.0522,0.949,0.00158,0.0534,0.909,-6.059,0.0896,143.733,7,4,happy
Rapper's Delight,The Best Of Grandmaster Flash & Sugar Hill,Various Artists,6pxXNGfymt03wkLEgMB6mt,2005,0,239466,0.912,0.076,0.836,3.22e-06,0.0285,0.724,-7.615,0.231,111.7,2,4,happy
Pumping On Your Stereo,Supergrass,Supergrass,4pCfNA9bjI3pccG5s9fm7J,1999-09-20,52,200400,0.461,0.011,0.904,0.0852,0.835,0.238,-4.789,0.0784,131.967,2,4,happy
Soul With A Capital 'S',"Soul With A Capital ""S"" - The Best Of Tower Of Power",Tower Of Power,7LAVKUMsMAp8JwA6nQm6b0,2002,39,296733,0.737,0.0419,0.988,0.0356,0.129,0.798,-5.477,0.0504,119.002,2,4,happy
Beautiful Day,All That You Can't Leave Behind (EU Version),U2,4icxdcI1mNNFNDx0ChCRy7,2000-10-22,0,248400,0.539,0.0161,0.938,0.00161,0.17,0.37,-6.49,0.0515,136.287,2,4,happy
Gimme All Your Lovin',Eliminator,ZZ Top,0OBwxFLu6Yj61s2OagYbgY,1983-03-23,72,241080,0.63,0.00322,0.788,0.0237,0.0883,0.63,-6.7,0.0298,120.059,5,4,happy
Surf City - 1996 Remastered Version,Pure Driving Rock,Various Artists,4a2SrtqtW9lUZR7lnD5tCi,2008-06-16,0,148120,0.474,0.354,0.83,0.0012,0.0835,0.978,-10.463,0.0304,148.723,8,4,happy
"Annie, I'm Not Your Daddy",The Best Of Kid Creole & The Coconuts,Kid Creole And The Coconuts,5paJLghWSGmEf6sY7LeYel,1993-01-01,49,227493,0.678,0.0526,0.815,0.00343,0.164,0.882,-12.213,0.0612,110.767,5,4,happy
Escape (The Pina Colada Song),Escape...The Best Of,Rupert Holmes,5I9zIwGB6f0edpjO5oX2b9,1998-01-01,59,275293,0.824,0.24,0.739,1.43e-06,0.0866,0.954,-7.198,0.0602,139.344,0,4,happy
Lovely Day,Lean On Me: The Collection,Bill Withers,5pKvHoHL75csBTMxfv4AzK,2001,0,249253,0.691,0.243,0.598,0.00176,0.128,0.764,-9.117,0.0348,97.968,9,4,happy
9 To 5,Dolly Parton Slipcase,Dolly Parton,5UWYJWoVXRpaLuzzXmHqg8,2003,0,162466,0.554,0.416,0.783,1.54e-06,0.631,0.813,-5.852,0.0457,105.39,6,4,happy
Great Day,Funny People (Original Motion Picture Soundtrack),Various Artists,01FS6G2ot9DT7yJ9JnvZva,2009-01-01,0,128853,0.566,0.646,0.49,7.34e-05,0.212,0.601,-11.703,0.0402,85.615,9,4,happy
I.G.Y.,The Nightfly,Donald Fagen,6bzwsAtj4TqaBysLDrGiO3,1982-10-29,57,363413,0.834,0.614,0.559,0.00434,0.0839,0.874,-9.366,0.0603,119.422,8,4,happy
Thank You For Being A Friend,All This And Heaven Too,Andrew Gold,0CQPCu8y6UnEaqQI8nK5hg,1978,0,280760,0.695,0.166,0.568,0.0,0.125,0.786,-13.572,0.0294,111.887,3,4,happy
Never Let Her Slip Away,Rhino Hi-Five: Andrew Gold,Andrew Gold,4c8EbIGb983AA6eGenjITV,2005-04-19,33,210280,0.729,0.662,0.413,0.0,0.0499,0.896,-15.291,0.0405,114.217,0,4,happy
Jump - 2004 Remaster,The Very Best of Van Halen (UK Release),Van Halen,0Z7O8GMQShj9TJrm2yX1R6,2004,56,244106,0.553,0.123,0.838,3.01e-05,0.053,0.821,-5.824,0.0317,129.893,0,4,happy
Don't Stop 'Til You Get Enough - Single Version,Off The Wall / Thriller,Michael Jackson,0lUpx2lDuILTRdoA9ofe71,1982-11-30,0,364560,0.882,0.0675,0.94,0.0259,0.115,0.92,-4.235,0.0795,119.237,11,4,happy
Smokin',Boston,Boston,37neU3YM4yysrailQPlMl6,1976,0,261386,0.197,0.000545,0.798,0.414,0.187,0.525,-7.334,0.0656,175.068,2,4,happy
Groove Is in the Heart,Rhino Hi-Five: Deee-Lite,Deee-Lite,2UVLuddklEVak5PXgC7baA,2005-04-19,63,231786,0.694,0.0153,0.881,0.0196,0.0851,0.924,-4.053,0.0701,121.554,1,4,happy
Stay with Me - 2008 Remaster,Some Guys Have All the Luck,Rod Stewart,6qpWQy2fQy7X0jJTg7UoiO,2008-11-16,25,279320,0.457,0.0486,0.88,0.141,0.16,0.827,-8.154,0.0362,91.246,9,4,happy
Summer Sun,Waltz for Koop,Koop,0MuXZVMXHl01DBU5DdO3EP,2001-01-01,49,227520,0.629,0.468,0.621,0.000192,0.131,0.591,-7.313,0.0286,114.992,5,4,happy
Don't Worry Be Happy,The Collection,Bobby McFerrin,5YbgcwHjQhdT1BYQ4rxWlD,1997-01-01,67,292400,0.681,0.881,0.163,7.62e-05,0.0688,0.771,-22.597,0.165,69.283,11,4,happy
Club Tropicana,Fantastic,Wham!,6tASfEUyB7lE2r6DLzURji,1983-07-09,66,265600,0.658,0.0294,0.714,5.7e-05,0.651,0.806,-9.247,0.0519,117.283,11,4,happy
Conga!,Playlist: The Very Best Of Gloria Estefan,Gloria Estefan,3zVLix0PrmdxGg9fRGlz5y,1985,0,253493,0.792,0.134,0.841,0.0723,0.181,0.848,-8.734,0.0475,123.174,2,4,happy
Alright,I Should Coco,Supergrass,5xC8uOesnn0udeXAYlAnoY,1995-05-15,73,180880,0.467,0.000479,0.958,0.199,0.299,0.701,-4.808,0.0775,145.92,4,4,happy
Soul Bossa Nova,Sampled! (Jazz Club),Various Artists,4y5xk197b2poqeshkCe3ON,2008-01-01,0,164293,0.533,0.501,0.698,5.27e-06,0.478,0.786,-7.853,0.0678,154.837,3,4,happy
"Signed, Sealed, Delivered (I'm Yours)",Essential Stevie Wonder,Stevie Wonder,0VaYWZe8BAeiU54fESSDwL,1987,0,159426,0.673,0.0246,0.541,0.0,0.0684,0.847,-12.559,0.0331,108.857,5,4,happy
Wham Rap! (Enjoy What You Do?),Fantastic,Wham!,71lebjkaaiB7UgOlGeqt7M,1983-07-09,44,404440,0.797,0.0756,0.793,0.000339,0.439,0.847,-6.94,0.115,118.441,2,4,happy
Copacabana (At the Copa) - Long Version,The Essential Barry Manilow,Barry Manilow,5DWYNAL7IFCKrWW7RfhIG4,2005-09-24,23,346346,0.675,0.036,0.835,0.0185,0.082,0.804,-9.589,0.0672,116.517,5,4,happy
Another Day,Jim,Jamie Lidell,65N5mnAk0WOubXkCryAxEe,2008-04-27,55,228906,0.702,0.163,0.634,0.0,0.288,0.897,-4.996,0.0418,135.552,3,4,happy
Love In An Elevator - Single Version,Young Lust: The Aerosmith Anthology,Aerosmith,5zZ3ivuobLMt4fypSqsP80,2001-11-20,0,321733,0.446,0.0344,0.97,0.00157,0.337,0.524,-4.754,0.0791,93.755,4,4,happy
I Was Made For Lovin' You,Greatest Kiss,KISS,48PBqbMjiYPq3VsY7vG5n4,1997-04-08,0,270960,0.771,0.21,0.847,6.45e-05,0.0759,0.886,-6.216,0.0383,128.385,4,4,happy
Walk Like an Egyptian,80s 100 Hits,Various Artists,1gb5sUe1CuRBuT8twq8uhw,2010-02-26,49,192813,0.716,0.0117,0.828,2.1e-06,0.301,0.771,-13.065,0.104,103.155,11,4,happy
Brown Eyed Girl,Mind Blowing '60s Rock Classics,Various Artists,377QcIX4FOt5N04600Cznz,2009-02-01,0,183093,0.496,0.187,0.591,0.0,0.528,0.912,-10.23,0.0368,150.523,7,4,happy
Karma Chameleon,The Best Of Culture Club,Culture Club,4NH4xiPQ7TqNGqj6pZV4ki,1989-01-01,66,242200,0.668,0.231,0.473,0.0,0.115,0.962,-15.402,0.0336,91.976,10,4,happy
Don't Steal Our Sun,So Much For The City,The Thrills,0IuXtGpJO39PeDNhYrTDmi,2003-01-01,29,170400,0.528,0.052,0.686,7.52e-05,0.082,0.592,-4.458,0.0301,135.157,7,4,happy
Parachute,Stuck Together With God's Glue,Something Happens,12h3ZVYHOEMLBA3NDo5zGd,1990-01-01,43,270573,0.396,0.41,0.455,1.15e-06,0.0685,0.434,-13.197,0.036,156.48,9,4,happy
Beautiful Life,The Awakening (Deluxe Edition),James Morrison,1Ao3c2sE5lfnY4113E3REP,2011-01-01,0,161968,0.743,0.357,0.705,0.0,0.0971,0.826,-6.049,0.0442,93.086,5,4,happy
Late in the Evening,One-Trick Pony,Paul Simon,2h23bjG8B3bcD47HBu6bHG,1980-08-01,60,242706,0.72,0.199,0.88,0.0246,0.0865,0.961,-8.988,0.0406,118.623,5,4,happy
Freeze-Frame,Best Of The J. Geils Band,The J. Geils Band,4QiBSGoonOPoCcldn0DYCq,2011-01-01,35,238133,0.605,0.175,0.913,0.00952,0.385,0.93,-4.984,0.0419,186.124,0,4,happy
Piece of the Rock,Another Mother Further,Mother's Finest,4Cg77xT2idYBAFNLTpmiHh,1977,32,203666,0.709,0.00585,0.849,5.79e-06,0.186,0.518,-7.527,0.0395,126.702,9,4,happy
POW,My Radio Sure Sounds Good To Me,Larry Graham & Graham Central Station,5pNKKF8AqSsqkJeNADqA7i,1978,32,282146,0.578,0.0857,0.78,0.105,0.0611,0.647,-14.21,0.0607,131.074,11,4,happy
Red Alert,The Singles,Basement Jaxx,2S5CHSeaE3s6zCePzAHJuH,2005-03-21,0,217120,0.645,0.0487,0.952,0.000752,0.316,0.848,-3.45,0.0487,126.86,10,4,happy
Pump It Up,This Year's Model (Deluxe Edition),Elvis Costello & The Attractions,0OGijARU0Zx7RZMXBZTVBU,2008-04-04,0,196680,0.645,0.00921,0.809,0.00113,0.106,0.966,-6.12,0.0385,138.978,11,4,happy
Gangnam Style (강남스타일),Gangnam Style (강남스타일),PSY,1R2SZUOGJqqBiLuvwKOT2Y,2012-01-01,0,219493,0.727,0.00432,0.938,0.0,0.0911,0.757,-2.872,0.288,132.077,11,4,happy
You Are The Sunshine Of My Life,At The Close Of A Century,Stevie Wonder,1lSBvNN5KpRC0OfzEJjY7L,1999-11-23,0,178026,0.522,0.802,0.481,4.37e-05,0.169,0.679,-13.782,0.0769,132.08,11,4,happy
I'll Take You There,Be Altitude: Respect Yourself,The Staple Singers,32UD5leqzVpV5TfLmnDSQH,1972,0,285360,0.811,0.0742,0.515,2.89e-06,0.0708,0.801,-13.025,0.0423,101.961,0,4,happy
Chuck E's in Love,Rickie Lee Jones,Rickie Lee Jones,3Z7mFVDy2izZNCvUWGy13Z,1979-03-02,47,209613,0.797,0.288,0.398,0.0,0.104,0.75,-10.789,0.0664,113.204,9,4,happy
Lovefool - Radio Edit,Best Of,The Cardigans,6vvYOBxKmCvUSEQgxdZiAq,2008-01-25,0,198240,0.648,0.0251,0.688,3.08e-06,0.149,0.937,-4.671,0.0282,111.854,9,4,happy
No Rain - Remastered 2002,Best Of Blind Melon,Blind Melon,4ptSL1o2pRgNvrC4wsN1Pl,2005-01-01,50,217800,0.383,0.644,0.599,3.61e-05,0.311,0.547,-5.432,0.0304,148.018,9,4,happy
Tropicalia,Mutations,Beck,6rx6Ew1sday1KvsnD4HNdI,1998,40,200306,0.663,0.0464,0.817,0.000124,0.131,0.784,-6.938,0.0561,81.549,7,4,happy
Going Up The Country,The Best Of Canned Heat,Canned Heat,57460SJgSpCXaRJ9YIYHxy,1987-01-01,63,171373,0.653,0.806,0.239,0.0146,0.132,0.765,-18.54,0.0453,80.392,5,4,happy
Rich Girl,The Essential Daryl Hall & John Oates,Daryl Hall & John Oates,5E3P9e1hvjyIOlFyqNB5eD,2005-04-25,67,144333,0.598,0.5,0.643,0.0,0.0435,0.823,-6.303,0.134,167.971,5,4,happy
It's so Easy,Simple Dreams,Linda Ronstadt,6AZyiAl6mr3Jcp6AlmiQwF,1977,56,145173,0.623,0.0229,0.764,0.0,0.841,0.894,-4.686,0.0418,119.717,4,4,happy
Your Smiling Face,JT,James Taylor,1Q34tAtTWI6RdW1qzFQiPb,1977,62,165400,0.683,0.137,0.515,6.66e-06,0.0816,0.767,-10.932,0.0592,88.827,1,4,happy
Happy Hour,London 0 Hull 4,The Housemartins,54gdzag84r3ZHHsWNF0PQT,1986-01-01,0,145000,0.529,0.128,0.828,3.63e-06,0.187,0.861,-10.981,0.0459,95.964,10,4,happy
Scream & Shout,Scream & Shout,will.i.am,7n6ibfsRHhCb1Ccl9Fg2CZ,2012-01-01,0,284413,0.79,0.0589,0.616,6.55e-05,0.171,0.473,-7.443,0.0596,130.009,0,4,happy
Domino,His Band and The Street Choir,Van Morrison,5sIk2grxR2bnbRD4F8a9k7,1970-11-15,0,189426,0.731,0.321,0.555,0.000103,0.0527,0.935,-13.684,0.0519,131.26,2,4,happy
Do the 45,Do the 45,Ryan Shaw,6oJNylzZX7be22iQrFYTrz,2008-06-13,5,148200,0.586,0.00554,0.808,8.93e-05,0.239,0.854,-2.259,0.0972,132.58,0,4,happy
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,6vxHp3CDNo0afgKGp2yi1E,1972-01-14,73,164813,0.626,0.237,0.816,1.8e-06,0.104,0.798,-10.593,0.131,105.307,9,4,happy
Blurred Lines,Blurred Lines,Robin Thicke,0XzkemXSiXJa7VgDFPfU4S,2013-01-01,0,263053,0.862,0.00453,0.503,1.87e-05,0.0761,0.863,-7.703,0.0494,119.998,7,4,happy
Treasure,Unorthodox Jukebox,Bruno Mars,55h7vJchibLdUkxdlX3fK7,2012-12-07,80,178560,0.874,0.0412,0.692,7.24e-05,0.324,0.937,-5.28,0.0431,116.017,5,4,happy
Matter of time,Fosbury,Tahiti 80,2WNVYkMdUMLlBAdCKAAA33,2005,16,241066,0.719,0.214,0.822,0.0,0.134,0.655,-3.385,0.0398,121.99,11,4,happy
Sign On,"Now, Then & Forever","Earth, Wind & Fire",3K5BdyHq4UJscupYJk8dQM,2013-09-06,0,257880,0.71,0.0699,0.823,9.85e-06,0.448,0.72,-6.48,0.259,167.991,1,4,happy
I Saw the Light,Something / Anything?,Todd Rundgren,0B1zVsLqmV9ibIFdNS5tGs,1972,50,182800,0.583,0.0531,0.833,5.57e-05,0.16,0.81,-8.29,0.0343,119.884,0,4,happy
Stitched Up (feat. John Mayer),Possibilities (U.S. Version),Herbie Hancock,7C9rpEBg8WwCBtsEoh9BDb,2005-08-30,29,325613,0.741,0.161,0.699,0.00465,0.134,0.747,-7.587,0.0628,89.313,7,4,happy
Soak Up The Sun,Sheryl Crow - Hits and Rarities (International Version),Sheryl Crow,0tkGSSQjO3HkzWOZQ0aFvs,2007-01-01,0,291413,0.711,0.0478,0.715,0.0,0.143,0.761,-5.774,0.0426,120.002,4,4,happy
All I Wanna Do,Sheryl Crow - Hits and Rarities (International Version),Sheryl Crow,6W0WGf0nhjTF5pvSKJkIvx,2007-01-01,0,272480,0.804,0.139,0.752,0.00108,0.266,0.956,-4.927,0.0296,120.093,9,4,happy
This Will Be (An Everlasting Love) - 2003 Remaster,Natalie Cole Anthology,Natalie Cole,241RmK77gecJ1y7jOoQ5lu,2003-01-01,62,171360,0.682,0.185,0.605,0.00326,0.0469,0.914,-10.771,0.0403,125.96,8,4,happy
Roof Garden,Breakin' Away,Al Jarreau,1CpDrx0Q7f2Wv3tBXDMt6z,1981,47,380266,0.749,0.147,0.475,0.0,0.175,0.866,-13.875,0.0737,98.53,8,4,happy
Boogie Down,Jarreau,Al Jarreau,3s1BdA5PikyYgfAAiGEhMg,1983,43,252933,0.913,0.283,0.476,0.00127,0.204,0.955,-13.823,0.0531,112.73,0,4,happy
When Will You Be Mine,Greatest,Average White Band,7BDCEIkavA9YhDKZgL1B7P,2012-12-17,23,265786,0.788,0.0652,0.661,0.00278,0.118,0.819,-7.238,0.0422,102.349,9,4,happy
Pick Up The Pieces,Greatest,Average White Band,7wEunHCPAqU7KfDAn37fm4,2012-12-17,14,234586,0.77,0.0106,0.858,0.685,0.0298,0.76,-7.086,0.0492,109.883,10,4,happy
Ain't No Stoppin' Us Now,The Greatest Hits Of Philadelphia International,Various Artists,6nn7yaVHrCYOnJgsT2WL2M,2005-05-05,0,220146,0.703,0.134,0.721,0.0,0.0666,0.885,-7.236,0.0533,112.394,1,4,happy
Work to Do,"Brother, Brother, Brother",The Isley Brothers,3eZAIWi3P840GLe3Z2WLIV,1972,0,191800,0.591,0.231,0.882,3.44e-06,0.172,0.921,-5.778,0.0367,170.717,11,4,happy
Satisfied,Repeat Offender,Richard Marx,4V87hYB94wu8DFtd901riK,1989-01-01,45,254466,0.572,0.0717,0.914,0.00776,0.319,0.843,-8.436,0.0311,108.991,8,4,happy
Hey Ya! - Radio Mix / Club Mix,Speakerboxxx/The Love Below,Outkast,5WQ1hIc5d2EVbRQ8qsj8Uh,2003-09-23,0,235213,0.719,0.0588,0.967,0.000249,0.206,0.964,-2.435,0.0552,79.505,0,4,happy
Freeway Of Love,Who's Zoomin' Who?,Aretha Franklin,5VsAiXtW0ApEaGsZypEUxL,1985-07-09,0,351266,0.693,0.282,0.839,3.83e-06,0.0338,0.849,-9.634,0.0526,126.165,2,4,happy
St. Elmos Fire (Man in Motion),St. Elmo's Fire - Music From The Original Motion Picture Soundtrack,Various Artists,1A2PWRltFrX8iB8IP3CUgo,1985-01-01,67,251800,0.612,0.15,0.6,3.04e-06,0.222,0.471,-10.945,0.0327,111.203,9,4,happy
Superstition,Number 1's,Stevie Wonder,4dwrL3Z5U2RZ6MZiKE2PgL,2007-01-01,0,244826,0.648,0.0182,0.751,0.000401,0.0418,0.863,-8.582,0.0806,100.437,8,4,happy
Boogie Wonderland,I Am,"Earth, Wind & Fire",6ztstiyZL6FXzh4aG46ZPD,1979-06,76,288293,0.802,0.0843,0.756,0.00765,0.0521,0.963,-10.791,0.0349,131.715,2,4,happy
Virtual Insanity - Remastered,High Times - The Singles 1992 - 2006,Jamiroquai,0dCr3qIupWh36ilLjRHi4P,2006-11-06,0,228333,0.651,0.13,0.946,0.0,0.148,0.508,-4.717,0.101,91.911,6,4,happy
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,2009-12-28,0,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,happy
Listen to the Music,Toulouse Street,The Doobie Brothers,7Ar4G7Ci11gpt6sfH9Cgz5,1972,76,227266,0.645,0.221,0.598,3.53e-06,0.0721,0.913,-13.18,0.0335,105.929,1,4,happy
24K Magic,24K Magic,Bruno Mars,2gFvRmQiWg9fN9i74Q0aiw,2016-10-07,66,225983,0.818,0.034,0.803,0.0,0.153,0.632,-4.282,0.0797,106.97,1,4,happy
"December, 1963 (Oh What a Night!)",The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,7ePFDzrnLt3Ynqgy2UFWri,2003-01-14,63,201093,0.727,0.058,0.588,5.46e-06,0.0414,0.964,-9.568,0.0253,104.413,1,4,happy
Down On The Corner,Willy And The Poor Boys (40th Anniversary Edition),Creedence Clearwater Revival,4YMLW13PuuO7o3jkIWlKAs,1969-11-02,0,166280,0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,0,4,happy
(Your Love Keeps Lifting Me) Higher & Higher,The Ultimate Jackie Wilson,Jackie Wilson,4TBBPZks71c60whhq0PgdP,2006,67,181066,0.631,0.176,0.69,0.0,0.121,0.938,-6.676,0.0531,94.574,2,4,happy
Uptown Funk (feat. Bruno Mars),Uptown Funk (feat. Bruno Mars),Mark Ronson,4rmPQGwcLQjCoFq5NrTA0D,2014-11-24,25,270626,0.853,0.00966,0.681,5.71e-05,0.0233,0.93,-5.003,0.0888,114.989,0,4,happy
Centerfold,Freeze Frame,The J. Geils Band,1ynmMEK1fkyiZ6Z6F3ThEt,1981,75,216533,0.653,0.249,0.677,0.0,0.403,0.888,-12.244,0.0396,114.37,0,4,happy
Good Times,Risqué,CHIC,0G3fbPbE1vGeABDEZF0jeG,1979-07-30,66,495400,0.87,0.149,0.657,0.0102,0.053,0.893,-7.32,0.0522,110.596,2,4,happy
Copacabana (At the Copa),Dance Vault Mixes - Copacabana (At The Copa),Barry Manilow,5FMXrphygZ4z3gVDHGWxgl,2006-09-12,59,236760,0.606,0.333,0.899,0.000102,0.0754,0.66,-6.412,0.0758,116.735,7,4,happy
Love Shack,Cosmic Thing,The B-52's,4W4wYHtsrgDiivRASVOINL,1989-06-23,73,320680,0.701,0.0544,0.803,1.54e-06,0.7,0.903,-6.786,0.0545,133.608,5,4,happy
You're a Friend of Mine,Rescue / Hero,Clarence Clemons,2BSm925aJog65vjU9FU1R3,1999-07-11,39,290160,0.593,0.036,0.918,4.26e-06,0.194,0.755,-4.883,0.0361,92.835,11,4,happy
Hot Legs,Foot Loose & Fancy Free,Rod Stewart,0NIRG3SEn2Zf88o3qHJil5,1977,55,315293,0.707,0.0368,0.906,0.000968,0.661,0.97,-5.771,0.0309,112.837,7,4,happy
Every Kinda People,Double Fun,Robert Palmer,5jkUfQV3wlplyoz0PUja09,1978-01-01,0,199200,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6,4,happy
You Sexy Thing,Hot Chocolate,Hot Chocolate,714hERk9U1W8FMYkoC83CO,1975,73,244920,0.791,0.523,0.733,0.0016,0.167,0.962,-5.465,0.0633,105.853,5,4,happy
Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,1b7LMtXCXGc2EwOIplI35z,2009-01-01,68,203893,0.795,0.0934,0.564,0.000531,0.0631,0.961,-10.482,0.0392,124.166,7,4,happy
You Can't Hurry Love,Favorites,The Supremes,69Qa7czzqraPWZgxpQN405,2008-01-01,0,165080,0.617,0.762,0.81,0.0,0.134,0.65,-6.513,0.0798,97.389,10,4,happy
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,62LJFaYihsdVrrkgUOJC05,1986-03-31,73,226240,0.898,0.0135,0.271,0.00138,0.0461,0.742,-12.238,0.091,111.485,7,4,happy
Start Me Up - Remastered 2009,Tattoo You (2009 Re-Mastered),The Rolling Stones,7HKez549fwJQDzx3zLjHKC,1981-08-24,77,213066,0.631,0.0436,0.932,0.137,0.0918,0.971,-4.142,0.0354,122.429,5,4,happy
Happy Together,Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,1967,76,176293,0.584,0.55,0.367,1.38e-05,0.0818,0.588,-9.638,0.0328,120.175,6,4,happy
Wake Me up Before You Go-Go,THE FINAL,Wham!,5J0S5UgpCwlmEagrqgzvoC,1986-05-31,0,230666,0.612,0.192,0.738,0.0,0.0779,0.883,-6.648,0.0479,81.327,0,4,happy
Kiss On My List,Hall & Oates,Daryl Hall & John Oates,3Jrf9MHZZWx3cXBeMkZWUu,2006-05-15,31,261200,0.806,0.138,0.847,0.00157,0.067,0.97,-4.47,0.0319,121.718,0,4,happy
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,6dGnYIeXmHdcikdzNNDMm2,1969-09-26,83,185733,0.557,0.0339,0.54,0.00248,0.179,0.394,-10.484,0.0347,129.171,9,4,happy
Mas Que Nada - Radio Edit,Mas Que Nada,Sérgio Mendes,0vFs2Eorve6vnnQcmItot1,2006-01-01,59,213293,0.761,0.0245,0.868,1.12e-06,0.11,0.963,-6.061,0.0667,100.037,5,4,happy
You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,32lF1rsInDTdK6Av3KdfaY,1998-01-01,0,300773,0.621,0.17,0.901,0.0,0.0875,0.744,-5.396,0.0302,113.967,2,4,happy
What I Like About You,What I Like About You (And Other Romantic Hits),The Romantics,6NdcSEhpGGAYXNnnhGS2s6,1990,65,175400,0.542,0.319,0.915,5.34e-05,0.171,0.92,-9.637,0.0549,159.81,9,4,happy
Two Princes,Pocket Full Of Kryptonite,Spin Doctors,4ePP9So5xRzspjLFVVbj90,1991-08-27,71,256733,0.543,0.00162,0.912,2.1e-06,0.0565,0.836,-10.71,0.0601,103.731,7,4,happy
